ИНН,НазваниеПоставщика,УровеньПоставщика,СтатусПоставщика,СтранаРегистрации,СтранаБенефициаров,ДатаРегистрации,БазовыйРейтингНадежности
9900000168,ООО Бел-25,Ключевой,В черном списке,Россия,Белоруссия,2016-05-31,0.78
9900000175,ООО Китай-26,Ключевой,Активный,Россия,Китай,2019-07-17,0.59
9900000182,ООО Тур-27,Разовый,Активный,Россия,Турция,2020-02-09,0.97
9900000189,OilTools-28,Основной,На пересмотре,Малайзия,Малайзия,2022-12-22,0.88
9900000196,ООО Брит-29,Разовый,Активный,Россия,Соед. Королев.,2018-02-15,0.83
9900000203,ООО Швейц-30,Основной,В черном списке,Россия,Швейцария,2022-10-24,0.88
9900000210,ООО Сервис-31,Разовый,Активный,Россия,Нидерланды,2020-04-16,0.87
9900000217,ООО Техно-32,Основной,В черном списке,Россия,Германия,2023-11-05,0.83
9900000224,33 Energy Services,Основной,Активный,США,США,2017-03-25,0.98
9900000231,ТОО Каз-34,Основной,На пересмотре,Казахстан,Казахстан,2021-03-25,0.95
9900000238,ООО Бел-35,Ключевой,Активный,Россия,Белоруссия,2020-03-15,0.83
9900000245,ООО Китай-36,Разовый,В черном списке,Россия,Китай,2021-03-13,0.85
9900000252,ООО Тур-37,Ключевой,Активный,Россия,Турция,2023-03-15,0.57
9900000259,OilTools-38,Стратегический,Активный,Малайзия,Малайзия,2020-08-24,0.84
9900000266,ООО Брит-39,Основной,В черном списке,Россия,Соед. Королев.,2023-11-03,0.57
9900000273,ООО Швейц-40,Ключевой,Активный,Россия,Швейцария,2024-02-15,0.81
9900000050,Pte Ltd ForeignSupplier-Сингапур-50,Разовый,Активный,Сингапур,Сингапур,2018-02-21,0.77
9900000051,Ltd ForeignSupplier-Кипр-51,Стратегический,Активный,Кипр,Кипр,2019-11-30,0.81
9900000052,Inc ForeignSupplier-США-52,Ключевой,Активный,США,США,2020-05-09,0.56
9900000053,GmbH ForeignSupplier-Германия-53,Ключевой,Активный,Германия,Германия,2019-03-15,0.65
9900000054,AG ForeignSupplier-Швейцария-54,Стратегический,Активный,Швейцария,Швейцария,2019-10-01,0.63
9900000055,B.V. ForeignSupplier-Нидерланды-55,Разовый,Активный,Нидерланды,Нидерланды,2020-05-13,0.72
9900000057,Co. Ltd ForeignSupplier-Китай-57,Стратегический,Активный,Китай,Китай,2021-11-25,0.64
9900000058,A.S. ForeignSupplier-Турция-58,Ключевой,Активный,Турция,Турция,2019-06-23,0.65
9900000059,ТОО ForeignSupplier-Казахстан-59,Стратегический,Активный,Казахстан,Казахстан,2021-07-21,0.98
9900000060,ООО ForeignSupplier-Белоруссия-60,Стратегический,Активный,Россия,Белоруссия,2017-05-30,0.66
9900000061,Sdn Bhd ForeignSupplier-Малайзия-61,Стратегический,Активный,Малайзия,Малайзия,2021-04-20,0.94
9900000062,FZ-LLC ForeignSupplier-ОАЭ-62,Разовый,Активный,ОАЭ,ОАЭ,2018-03-29,0.83
9900000064,Ltd ForeignSupplier-Кипр-64,Ключевой,Активный,Кипр,Кипр,2016-02-08,0.94
9900000065,Inc ForeignSupplier-США-65,Стратегический,Активный,США,США,2019-08-24,0.83
9900000066,GmbH ForeignSupplier-Германия-66,Ключевой,Активный,Германия,Германия,2019-07-07,0.62
9900000067,AG ForeignSupplier-Швейцария-67,Основной,Активный,Швейцария,Швейцария,2015-04-14,0.82
9900000068,B.V. ForeignSupplier-Нидерланды-68,Ключевой,Активный,Нидерланды,Нидерланды,2022-01-01,0.96
9900000069,PLC ForeignSupplier-Великобритания-69,Разовый,Активный,Великобритания,Великобритания,2020-02-28,0.67
9900000071,A.S. ForeignSupplier-Турция-71,Ключевой,Активный,Турция,Турция,2017-08-14,0.65
9900000072,ТОО ForeignSupplier-Казахстан-72,Разовый,Активный,Казахстан,Казахстан,2019-05-23,0.65
9900000073,ООО ForeignSupplier-Белоруссия-73,Разовый,Активный,Россия,Белоруссия,2017-03-26,0.88
9900000074,Sdn Bhd ForeignSupplier-Малайзия-74,Стратегический,Активный,Малайзия,Малайзия,2018-11-16,0.92
9900000075,FZ-LLC ForeignSupplier-ОАЭ-75,Разовый,Активный,ОАЭ,ОАЭ,2016-10-01,0.8
9900000076,Pte Ltd ForeignSupplier-Сингапур-76,Стратегический,Активный,Сингапур,Сингапур,2017-08-12,0.71
9900000078,Inc ForeignSupplier-США-78,Основной,Активный,США,США,2021-03-27,0.72
9900000079,GmbH ForeignSupplier-Германия-79,Основной,Активный,Германия,Германия,2019-12-05,0.83
9900000080,AG ForeignSupplier-Швейцария-80,Основной,Активный,Швейцария,Швейцария,2017-03-08,0.83
9900000001,GmbH ForeignSupplier-Германия-2,Ключевой,Активный,Германия,Германия,2017-05-10,0.63
9900000002,AG ForeignSupplier-Швейцария-3,Стратегический,Активный,Швейцария,Швейцария,2019-06-27,0.75
9900000003,B.V. ForeignSupplier-Нидерланды-4,Ключевой,Активный,Нидерланды,Нидерланды,2015-11-27,0.75
9900000004,PLC ForeignSupplier-Великобритания-5,Разовый,Активный,Великобритания,Великобритания,2022-12-29,0.86
9900000005,Co. Ltd ForeignSupplier-Китай-6,Основной,Активный,Китай,Китай,2017-02-08,0.87
